"No.","Time","Source","Destination","Protocol","Length","Info"
"7719","11:57:11.458482941","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=34783 Ack=3685452 Win=65536 Len=0"
"7720","11:57:11.458483055","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7721","11:57:11.458649129","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7722","11:57:11.458778779","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=34822 Ack=3689630 Win=65536 Len=0"
"7723","11:57:11.458778883","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7724","11:57:11.458905310","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7725","11:57:11.459025279","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=34861 Ack=3693808 Win=65536 Len=0"
"7726","11:57:11.459025368","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7727","11:57:11.459169812","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
"7728","11:57:11.459305996","10.10.5.12","10.10.5.11","TCP","60","445  >  52052 [ACK] Seq=34900 Ack=3697986 Win=65536 Len=0"
"7729","11:57:11.459306098","10.10.5.12","10.10.5.11","SMB","93","Trans2 Response<unknown>, Error: STATUS_NOT_IMPLEMENTED"
"7730","11:57:11.459623534","10.10.5.11","10.10.5.12","SMB","4232","Trans2 Request, SESSION_SETUP"
